Date,Price
13/12/1983,1.5721
14/12/1983,1.5722
15/12/1983,1.5833
16/12/1983,1.5849
19/12/1983,1.6171
20/12/1983,1.6134
21/12/1983,1.5974
22/12/1983,1.5847
23/12/1983,1.5897
26/12/1983,1.5897
27/12/1983,1.5902
28/12/1983,1.5982
29/12/1983,1.6218
30/12/1983,1.6092
02/01/1984,1.6092
03/01/1984,1.583
04/01/1984,1.5751
05/01/1984,1.5715
06/01/1984,1.5593
09/01/1984,1.5444
10/01/1984,1.5479
11/01/1984,1.5378
12/01/1984,1.5445
13/01/1984,1.558
16/01/1984,1.5706
17/01/1984,1.562
18/01/1984,1.5676
19/01/1984,1.5782
20/01/1984,1.5535
23/01/1984,1.5557
24/01/1984,1.543
25/01/1984,1.5423
26/01/1984,1.5473
27/01/1984,1.5371
30/01/1984,1.5413
31/01/1984,1.5267
01/02/1984,1.5321
02/02/1984,1.543
03/02/1984,1.5487
06/02/1984,1.5418
07/02/1984,1.531
08/02/1984,1.5278
09/02/1984,1.5286
10/02/1984,1.5196
13/02/1984,1.5181
14/02/1984,1.5312
15/02/1984,1.5398
16/02/1984,1.5279
17/02/1984,1.535
20/02/1984,1.5332
21/02/1984,1.5412
22/02/1984,1.5471
23/02/1984,1.5423
24/02/1984,1.5599
27/02/1984,1.5627
28/02/1984,1.58
29/02/1984,1.5808
01/03/1984,1.5665
02/03/1984,1.5702
05/03/1984,1.5613
06/03/1984,1.5539
07/03/1984,1.5412
08/03/1984,1.5294
09/03/1984,1.5351
12/03/1984,1.5223
13/03/1984,1.5264
14/03/1984,1.52
15/03/1984,1.5135
16/03/1984,1.4969
19/03/1984,1.5134
20/03/1984,1.5032
21/03/1984,1.4983
22/03/1984,1.5187
23/03/1984,1.5285
26/03/1984,1.5258
27/03/1984,1.5272
28/03/1984,1.5415
29/03/1984,1.5494
30/03/1984,1.5374
02/04/1984,1.5263
03/04/1984,1.5247
04/04/1984,1.5251
05/04/1984,1.5279
06/04/1984,1.5569
09/04/1984,1.5634
10/04/1984,1.57
11/04/1984,1.5605
12/04/1984,1.5492
13/04/1984,1.5575
16/04/1984,1.5478
17/04/1984,1.5427
18/04/1984,1.5374
19/04/1984,1.536
20/04/1984,1.5341
23/04/1984,1.5336
24/04/1984,1.5282
25/04/1984,1.5329
26/04/1984,1.5247
27/04/1984,1.5212
30/04/1984,1.5194
01/05/1984,1.5144
02/05/1984,1.5119
03/05/1984,1.5179
04/05/1984,1.5189
07/05/1984,1.5063
08/05/1984,1.5119
09/05/1984,1.5294
10/05/1984,1.5292
11/05/1984,1.5304
14/05/1984,1.5451
15/05/1984,1.5432
16/05/1984,1.5455
17/05/1984,1.5487
18/05/1984,1.553
21/05/1984,1.5599
22/05/1984,1.5454
23/05/1984,1.524
24/05/1984,1.534
25/05/1984,1.5334
28/05/1984,1.5385
29/05/1984,1.5442
30/05/1984,1.5429
31/05/1984,1.5408
01/06/1984,1.5601
04/06/1984,1.548
05/06/1984,1.5488
06/06/1984,1.5675
07/06/1984,1.5568
08/06/1984,1.5511
11/06/1984,1.545
12/06/1984,1.5434
13/06/1984,1.5474
14/06/1984,1.5499
15/06/1984,1.5525
18/06/1984,1.5573
19/06/1984,1.5597
20/06/1984,1.5447
21/06/1984,1.5605
22/06/1984,1.5728
25/06/1984,1.5788
26/06/1984,1.5794
27/06/1984,1.5608
28/06/1984,1.5701
29/06/1984,1.5761
02/07/1984,1.5767
03/07/1984,1.5595
04/07/1984,1.5616
05/07/1984,1.5473
06/07/1984,1.5665
09/07/1984,1.5648
10/07/1984,1.576
11/07/1984,1.5953
12/07/1984,1.5821
13/07/1984,1.5756
16/07/1984,1.5799
17/07/1984,1.5799
18/07/1984,1.5883
19/07/1984,1.6021
