Date,Last Price
21/05/1996,1.9057
20/05/1996,1.9049
17/05/1996,1.8895
16/05/1996,1.896
15/05/1996,1.8924
14/05/1996,1.8877
13/05/1996,1.8879
10/05/1996,1.8965
09/05/1996,1.9071
08/05/1996,1.9011
07/05/1996,1.8865
06/05/1996,1.8914
03/05/1996,1.8945
02/05/1996,1.8872
01/05/1996,1.8895
30/04/1996,1.9131
29/04/1996,1.9116
26/04/1996,1.9137
25/04/1996,1.911
24/04/1996,1.931
23/04/1996,1.918
22/04/1996,1.9203
19/04/1996,1.9263
18/04/1996,1.9394
17/04/1996,1.9183
16/04/1996,1.9195
15/04/1996,1.9074
12/04/1996,1.9111
11/04/1996,1.9115
10/04/1996,1.9211
09/04/1996,1.9357
08/04/1996,1.9503
05/04/1996,1.9503
04/04/1996,1.9559
03/04/1996,1.941
02/04/1996,1.9472
01/04/1996,1.9428
29/03/1996,1.9506
28/03/1996,1.9518
27/03/1996,1.945
26/03/1996,1.9696
25/03/1996,1.9687
22/03/1996,1.9769
21/03/1996,1.9754
20/03/1996,1.982
19/03/1996,1.9829
18/03/1996,1.977
15/03/1996,1.9752
14/03/1996,1.9728
13/03/1996,1.9656
12/03/1996,1.9805
11/03/1996,1.9837
08/03/1996,1.9824
07/03/1996,2.0048
06/03/1996,1.9985
05/03/1996,2.0147
04/03/1996,2.0116
01/03/1996,2.0076
29/02/1996,2.0033
28/02/1996,2.0054
27/02/1996,2.0301
26/02/1996,2.0308
23/02/1996,2.0337
22/02/1996,2.0459
21/02/1996,2.0497
20/02/1996,2.0487
19/02/1996,2.0508
16/02/1996,2.0541
15/02/1996,2.0356
14/02/1996,2.0427
13/02/1996,2.038
12/02/1996,2.0218
09/02/1996,2.0285
08/02/1996,2.0237
07/02/1996,2.0459
06/02/1996,2.0443
05/02/1996,2.0363
02/02/1996,2.0127
01/02/1996,2.0315
31/01/1996,2.0281
30/01/1996,2.021
29/01/1996,2.0333
26/01/1996,2.0404
25/01/1996,2.0388
24/01/1996,2.0482
23/01/1996,2.0589
22/01/1996,2.0641
19/01/1996,2.0508
18/01/1996,2.0519
17/01/1996,2.0552
16/01/1996,2.0588
15/01/1996,2.0791
12/01/1996,2.08
11/01/1996,2.0756
10/01/1996,2.0707
09/01/1996,2.0799
08/01/1996,2.0748
05/01/1996,2.0733
04/01/1996,2.0994
03/01/1996,2.0769
02/01/1996,2.0878
01/01/1996,2.0978
29/12/1995,2.0861
28/12/1995,2.0803
27/12/1995,2.0862
26/12/1995,2.1035
25/12/1995,2.0856
22/12/1995,2.0865
21/12/1995,2.0784
20/12/1995,2.0803
19/12/1995,2.078
18/12/1995,2.0847
15/12/1995,2.0697
14/12/1995,2.0889
13/12/1995,2.0617
12/12/1995,2.0693
11/12/1995,2.0837
08/12/1995,2.0816
07/12/1995,2.0783
06/12/1995,2.0843
05/12/1995,2.0881
04/12/1995,2.0756
01/12/1995,2.0717
30/11/1995,2.0619
29/11/1995,2.0494
28/11/1995,2.0604
27/11/1995,2.0846
24/11/1995,2.1089
23/11/1995,2.1094
22/11/1995,2.1113
21/11/1995,2.1001
20/11/1995,2.0868
17/11/1995,2.0816
16/11/1995,2.0983
15/11/1995,2.1169
14/11/1995,2.1079
13/11/1995,2.1055
10/11/1995,2.1241
09/11/1995,2.1419
08/11/1995,2.1084
07/11/1995,2.1103
06/11/1995,2.0956
03/11/1995,2.0824
02/11/1995,2.0835
01/11/1995,2.0755
31/10/1995,2.0799
30/10/1995,2.0733
27/10/1995,2.0903
26/10/1995,2.0963
25/10/1995,2.1068
24/10/1995,2.1117
23/10/1995,2.1139
20/10/1995,2.0955
19/10/1995,2.0975
18/10/1995,2.0793
17/10/1995,2.0845
16/10/1995,2.0724
13/10/1995,2.0756
12/10/1995,2.0729
11/10/1995,2.0612
10/10/1995,2.0722
09/10/1995,2.0746
06/10/1995,2.0796
05/10/1995,2.0906
04/10/1995,2.0745
03/10/1995,2.052
02/10/1995,2.0858
29/09/1995,2.0973
28/09/1995,2.0998
27/09/1995,2.1028
26/09/1995,2.0934
25/09/1995,2.0918
22/09/1995,2.1034
21/09/1995,2.128
20/09/1995,2.0526
19/09/1995,2.0336
18/09/1995,2.05
15/09/1995,2.0371
14/09/1995,2.0341
13/09/1995,2.0294
12/09/1995,2.0485
11/09/1995,2.054
08/09/1995,2.0612
07/09/1995,2.0617
06/09/1995,2.061
05/09/1995,2.0713
04/09/1995,2.0727
01/09/1995,2.0708
31/08/1995,2.0635
30/08/1995,2.0479
29/08/1995,2.0458
28/08/1995,2.0834
25/08/1995,2.0846
24/08/1995,2.0878
23/08/1995,2.0822
22/08/1995,2.0693
21/08/1995,2.0883
18/08/1995,2.0912
17/08/1995,2.1104
16/08/1995,2.1094
15/08/1995,2.1044
14/08/1995,2.1168
11/08/1995,2.1118
10/08/1995,2.1496
09/08/1995,2.1584
08/08/1995,2.1538
07/08/1995,2.1597
04/08/1995,2.1612
03/08/1995,2.1829
02/08/1995,2.1562
01/08/1995,2.1695
31/07/1995,2.1623
28/07/1995,2.1737
27/07/1995,2.1711
26/07/1995,2.1627
25/07/1995,2.1512
24/07/1995,2.157
21/07/1995,2.1736
20/07/1995,2.1699
19/07/1995,2.1837
18/07/1995,2.1716
17/07/1995,2.1694
14/07/1995,2.1818
13/07/1995,2.1834
12/07/1995,2.1999
11/07/1995,2.2045
10/07/1995,2.2307
07/07/1995,2.2294
06/07/1995,2.2444
05/07/1995,2.2436
04/07/1995,2.2499
03/07/1995,2.2551
30/06/1995,2.2463
29/06/1995,2.2369
28/06/1995,2.1981
27/06/1995,2.2196
26/06/1995,2.2042
23/06/1995,2.2267
22/06/1995,2.2161
21/06/1995,2.2198
20/06/1995,2.217
19/06/1995,2.2065
16/06/1995,2.2052
15/06/1995,2.1974
14/06/1995,2.2362
13/06/1995,2.2121
12/06/1995,2.2149
09/06/1995,2.2132
08/06/1995,2.2118
07/06/1995,2.2029
06/06/1995,2.2207
05/06/1995,2.2314
02/06/1995,2.2277
01/06/1995,2.2349
31/05/1995,2.2101
30/05/1995,2.2179
29/05/1995,2.2302
26/05/1995,2.2262
25/05/1995,2.2295
24/05/1995,2.1967
23/05/1995,2.1809
22/05/1995,2.1975
19/05/1995,2.1925
18/05/1995,2.2013
17/05/1995,2.1389
16/05/1995,2.1462
15/05/1995,2.1449
12/05/1995,2.1129
11/05/1995,2.1298
10/05/1995,2.1778
09/05/1995,2.177
08/05/1995,2.1755
05/05/1995,2.1463
04/05/1995,2.1809
03/05/1995,2.2039
02/05/1995,2.2172
01/05/1995,2.2165
28/04/1995,2.2144
27/04/1995,2.217
26/04/1995,2.2249
25/04/1995,2.2184
24/04/1995,2.2029
21/04/1995,2.2145
20/04/1995,2.1833
19/04/1995,2.1906
18/04/1995,2.1705
17/04/1995,2.182
14/04/1995,2.167
13/04/1995,2.175
12/04/1995,2.1441
11/04/1995,2.1488
10/04/1995,2.1563
07/04/1995,2.1753
06/04/1995,2.1747
05/04/1995,2.1701
04/04/1995,2.1891
03/04/1995,2.2079
31/03/1995,2.2076
30/03/1995,2.1961
29/03/1995,2.2277
28/03/1995,2.219
27/03/1995,2.1983
24/03/1995,2.1833
23/03/1995,2.1977
22/03/1995,2.1877
21/03/1995,2.1812
20/03/1995,2.1792
17/03/1995,2.1544
16/03/1995,2.1272
15/03/1995,2.1437
14/03/1995,2.1281
13/03/1995,2.1333
10/03/1995,2.1135
09/03/1995,2.1675
08/03/1995,2.1684
07/03/1995,2.2192
06/03/1995,2.1927
03/03/1995,2.213
02/03/1995,2.1927
01/03/1995,2.1607
28/02/1995,2.1434
27/02/1995,2.1365
24/02/1995,2.1516
23/02/1995,2.1628
22/02/1995,2.1477
21/02/1995,2.1328
20/02/1995,2.1396
17/02/1995,2.148
16/02/1995,2.1244
15/02/1995,2.0928
14/02/1995,2.0939
13/02/1995,2.1025
10/02/1995,2.1001
09/02/1995,2.0989
08/02/1995,2.0833
07/02/1995,2.0917
06/02/1995,2.0771
03/02/1995,2.0801
02/02/1995,2.0837
01/02/1995,2.0892
31/01/1995,2.0875
30/01/1995,2.0989
27/01/1995,2.0928
26/01/1995,2.0771
25/01/1995,2.079
24/01/1995,2.0719
23/01/1995,2.0734
20/01/1995,2.0654
19/01/1995,2.0645
18/01/1995,2.0622
17/01/1995,2.063
16/01/1995,2.0643
13/01/1995,2.0716
12/01/1995,2.0539
11/01/1995,2.0296
10/01/1995,2.0348
09/01/1995,2.0486
06/01/1995,2.0259
05/01/1995,2.0326
04/01/1995,2.0299
03/01/1995,2.0332
02/01/1995,2.0094
30/12/1994,2.0181
29/12/1994,2.0064
28/12/1994,2.0225
27/12/1994,1.9966
26/12/1994,1.9859
23/12/1994,1.99
22/12/1994,1.9968
21/12/1994,1.9876
20/12/1994,2.0106
19/12/1994,2.0109
16/12/1994,2.0133
15/12/1994,2.0099
14/12/1994,2.0132
13/12/1994,2.0118
12/12/1994,2.0213
09/12/1994,2.015
08/12/1994,2.0184
07/12/1994,2.035
06/12/1994,2.0247
05/12/1994,2.0233
02/12/1994,2.0243
01/12/1994,2.0426
30/11/1994,2.0351
29/11/1994,2.0459
28/11/1994,2.048
25/11/1994,2.058
24/11/1994,2.0583
23/11/1994,2.0641
22/11/1994,2.0598
21/11/1994,2.0577
18/11/1994,2.0662
17/11/1994,2.0842
16/11/1994,2.0933
15/11/1994,2.0921
14/11/1994,2.1141
11/11/1994,2.12
10/11/1994,2.1207
09/11/1994,2.1277
08/11/1994,2.1493
07/11/1994,2.1436
04/11/1994,2.1505
03/11/1994,2.1777
02/11/1994,2.1842
01/11/1994,2.2091
31/10/1994,2.2025
28/10/1994,2.187
27/10/1994,2.2005
26/10/1994,2.2053
25/10/1994,2.2187
24/10/1994,2.2187
21/10/1994,2.2211
20/10/1994,2.2284
19/10/1994,2.2022
18/10/1994,2.1883
17/10/1994,2.1875
14/10/1994,2.1684
13/10/1994,2.1596
12/10/1994,2.1498
11/10/1994,2.1477
10/10/1994,2.1464
07/10/1994,2.149
06/10/1994,2.1529
05/10/1994,2.1445
04/10/1994,2.1387
03/10/1994,2.132
30/09/1994,2.1313
29/09/1994,2.1332
28/09/1994,2.1292
27/09/1994,2.1358
26/09/1994,2.1241
23/09/1994,2.1237
22/09/1994,2.1404
21/09/1994,2.1498
20/09/1994,2.1216
19/09/1994,2.1135
16/09/1994,2.1187
15/09/1994,2.1019
14/09/1994,2.1098
13/09/1994,2.1021
12/09/1994,2.1126
09/09/1994,2.0832
08/09/1994,2.0701
07/09/1994,2.076
06/09/1994,2.0942
05/09/1994,2.0889
02/09/1994,2.0866
01/09/1994,2.0803
31/08/1994,2.065
30/08/1994,2.061
29/08/1994,2.0653
26/08/1994,2.0576
25/08/1994,2.0925
24/08/1994,2.0901
23/08/1994,2.1159
22/08/1994,2.1217
19/08/1994,2.0961
18/08/1994,2.0905
17/08/1994,2.09
16/08/1994,2.0681
15/08/1994,2.0831
12/08/1994,2.0882
11/08/1994,2.0739
10/08/1994,2.0686
09/08/1994,2.0755
08/08/1994,2.0804
05/08/1994,2.0756
04/08/1994,2.0856
03/08/1994,2.1126
02/08/1994,2.097
01/08/1994,2.0806
29/07/1994,2.0879
28/07/1994,2.0668
27/07/1994,2.0729
26/07/1994,2.051
25/07/1994,2.057
22/07/1994,2.0503
21/07/1994,2.0678
20/07/1994,2.0993
19/07/1994,2.1044
18/07/1994,2.1352
15/07/1994,2.1306
14/07/1994,2.1204
13/07/1994,2.1192
12/07/1994,2.1301
11/07/1994,2.1337
08/07/1994,2.1126
07/07/1994,2.1231
06/07/1994,2.1149
05/07/1994,2.1339
04/07/1994,2.1091
01/07/1994,2.1025
30/06/1994,2.1198
29/06/1994,2.1226
28/06/1994,2.1465
27/06/1994,2.1341
24/06/1994,2.1318
23/06/1994,2.1016
22/06/1994,2.0796
21/06/1994,2.0686
20/06/1994,2.083
17/06/1994,2.0905
16/06/1994,2.0776
15/06/1994,2.0814
14/06/1994,2.0819
13/06/1994,2.0695
10/06/1994,2.0529
09/06/1994,2.056
08/06/1994,2.0579
07/06/1994,2.0564
06/06/1994,2.0542
03/06/1994,2.0405
02/06/1994,2.0474
01/06/1994,2.0518
31/05/1994,2.0503
30/05/1994,2.0553
27/05/1994,2.0579
26/05/1994,2.0608
25/05/1994,2.0554
24/05/1994,2.0501
23/05/1994,2.0544
20/05/1994,2.0668
19/05/1994,2.0707
18/05/1994,2.0695
17/05/1994,2.0639
16/05/1994,2.0686
13/05/1994,2.076
12/05/1994,2.0876
11/05/1994,2.0774
10/05/1994,2.0565
09/05/1994,2.0803
06/05/1994,2.0843
05/05/1994,2.0891
04/05/1994,2.1079
03/05/1994,2.1501
02/05/1994,2.1276
29/04/1994,2.1223
28/04/1994,2.1255
27/04/1994,2.1025
26/04/1994,2.0965
25/04/1994,2.0802
22/04/1994,2.0715
21/04/1994,2.0822
20/04/1994,2.0968
19/04/1994,2.0722
18/04/1994,2.0596
15/04/1994,2.0337
14/04/1994,2.0467
13/04/1994,2.0463
12/04/1994,2.0476
11/04/1994,2.0382
08/04/1994,2.0371
07/04/1994,2.0534
06/04/1994,2.0761
05/04/1994,2.0779
04/04/1994,2.0809
01/04/1994,2.086
31/03/1994,2.1065
30/03/1994,2.1089
29/03/1994,2.1117
28/03/1994,2.1054
25/03/1994,2.1054
24/03/1994,2.1217
23/03/1994,2.1031
22/03/1994,2.0938
21/03/1994,2.1039
18/03/1994,2.0924
17/03/1994,2.0974
16/03/1994,2.0914
15/03/1994,2.0763
14/03/1994,2.0818
11/03/1994,2.0992
10/03/1994,2.1272
09/03/1994,2.0921
08/03/1994,2.0774
07/03/1994,2.0784
04/03/1994,2.0823
03/03/1994,2.1155
02/03/1994,2.1135
01/03/1994,2.1003
28/02/1994,2.082
25/02/1994,2.0701
24/02/1994,2.0518
23/02/1994,2.0412
22/02/1994,2.0441
21/02/1994,2.0579
18/02/1994,2.0711
17/02/1994,2.0617
