Date,Last Price
21/05/1996,161.82
20/05/1996,161.99
17/05/1996,161.75
16/05/1996,161.435
15/05/1996,161.73
14/05/1996,160.41
13/05/1996,159.035
10/05/1996,160.28
09/05/1996,159.585
08/05/1996,160.41
07/05/1996,158.86
06/05/1996,158.135
03/05/1996,158.37
02/05/1996,156.94
01/05/1996,157.17
30/04/1996,157.925
29/04/1996,157.745
26/04/1996,159.5
25/04/1996,160.695
24/04/1996,161.585
23/04/1996,161.905
22/04/1996,161.15
19/04/1996,162.495
18/04/1996,162.11
17/04/1996,163.445
16/04/1996,162.9
15/04/1996,163.655
12/04/1996,164.17
11/04/1996,164.03
10/04/1996,163.66
09/04/1996,164.68
08/04/1996,164.955
05/04/1996,164.955
04/04/1996,163.79
03/04/1996,162.97
02/04/1996,163.81
01/04/1996,163.91
29/03/1996,163.61
28/03/1996,161.94
27/03/1996,161.81
26/03/1996,162.205
25/03/1996,161.36
22/03/1996,163.98
21/03/1996,163.875
20/03/1996,163.65
19/03/1996,162.87
18/03/1996,162.49
15/03/1996,161.53
14/03/1996,160.83
13/03/1996,160.29
12/03/1996,160.49
11/03/1996,160.7
08/03/1996,161.175
07/03/1996,161.205
06/03/1996,161.09
05/03/1996,160.645
04/03/1996,160.61
01/03/1996,161.05
29/02/1996,161.05
28/02/1996,159.98
27/02/1996,160.555
26/02/1996,160.64
23/02/1996,161.32
22/02/1996,162.21
21/02/1996,162.15
20/02/1996,163.3
19/02/1996,160.775
16/02/1996,162.905
15/02/1996,163.215
14/02/1996,163.96
13/02/1996,164.02
12/02/1996,163.47
09/02/1996,164.17
08/02/1996,164.18
07/02/1996,163.04
06/02/1996,162.385
05/02/1996,161.565
02/02/1996,162.37
01/02/1996,161.865
31/01/1996,161.715
30/01/1996,161.41
29/01/1996,160.75
26/01/1996,160.155
25/01/1996,161.135
24/01/1996,161.515
23/01/1996,160.34
22/01/1996,159.875
19/01/1996,159.26
18/01/1996,160.715
17/01/1996,160.705
16/01/1996,162.56
15/01/1996,162.57
12/01/1996,162.6
11/01/1996,161.89
10/01/1996,162.22
09/01/1996,162.215
08/01/1996,163.445
05/01/1996,163.3
04/01/1996,164.705
03/01/1996,162.755
02/01/1996,161.68
01/01/1996,160.606
29/12/1995,160.39
28/12/1995,158.69
27/12/1995,160.3
26/12/1995,159.52
25/12/1995,158.315
22/12/1995,157.91
21/12/1995,156.74
20/12/1995,156.795
19/12/1995,156.97
18/12/1995,156.53
15/12/1995,157.065
14/12/1995,156.505
13/12/1995,155.845
12/12/1995,155.84
11/12/1995,155.12
08/12/1995,155.075
07/12/1995,155.75
06/12/1995,156.34
05/12/1995,156.355
04/12/1995,155.02
01/12/1995,155.39
30/11/1995,155.73
29/11/1995,155.865
28/11/1995,156.72
27/11/1995,157.965
24/11/1995,158.245
23/11/1995,157.285
22/11/1995,157.305
21/11/1995,158.235
20/11/1995,156.555
17/11/1995,158.115
16/11/1995,159.16
15/11/1995,157.385
14/11/1995,158.5
13/11/1995,157.915
10/11/1995,158.965
09/11/1995,159.155
08/11/1995,162.105
07/11/1995,163.005
06/11/1995,163.085
03/11/1995,163.99
02/11/1995,163.76
01/11/1995,163.15
31/10/1995,161.705
30/10/1995,160.265
27/10/1995,160.235
26/10/1995,160.245
25/10/1995,160.045
24/10/1995,158.705
23/10/1995,157.395
20/10/1995,157.71
19/10/1995,158.175
18/10/1995,158.045
17/10/1995,157.7
16/10/1995,158.375
13/10/1995,158.465
12/10/1995,157.76
11/10/1995,158.73
10/10/1995,158.58
09/10/1995,159.3
06/10/1995,159.365
05/10/1995,157.97
04/10/1995,159.36
03/10/1995,160.59
02/10/1995,159.84
29/09/1995,157.095
28/09/1995,157.14
27/09/1995,157.84
26/09/1995,158.525
25/09/1995,157.365
22/09/1995,156.245
21/09/1995,156.665
20/09/1995,159.735
19/09/1995,161.01
18/09/1995,160.285
15/09/1995,160.475
14/09/1995,158.88
13/09/1995,158.795
12/09/1995,157.025
11/09/1995,154.48
08/09/1995,154.58
07/09/1995,152.83
06/09/1995,153.305
05/09/1995,152.215
04/09/1995,151.29
01/09/1995,151.71
31/08/1995,151.75
30/08/1995,153.06
29/08/1995,151.095
28/08/1995,149.745
25/08/1995,148.955
24/08/1995,148.92
23/08/1995,148.92
22/08/1995,148.405
21/08/1995,148.27
18/08/1995,149.62
17/08/1995,150.37
16/08/1995,151.73
15/08/1995,150.455
14/08/1995,147.28
11/08/1995,147.84
10/08/1995,147.405
09/08/1995,146.45
08/08/1995,147.065
07/08/1995,146.29
04/08/1995,146.65
03/08/1995,145.355
02/08/1995,145.385
01/08/1995,141.35
31/07/1995,141.015
28/07/1995,141.15
27/07/1995,140.43
26/07/1995,140.25
25/07/1995,139.42
24/07/1995,139.78
21/07/1995,141.105
20/07/1995,139.915
19/07/1995,139.86
18/07/1995,140.955
17/07/1995,141.39
14/07/1995,140.095
13/07/1995,139.76
12/07/1995,139.355
11/07/1995,138.895
10/07/1995,138.48
07/07/1995,138.285
06/07/1995,136.195
05/07/1995,135.5
04/07/1995,135.555
03/07/1995,135.41
30/06/1995,134.82
29/06/1995,134.8
28/06/1995,135.09
27/06/1995,133.305
26/06/1995,133.745
23/06/1995,135.55
22/06/1995,135.335
21/06/1995,135.485
20/06/1995,135.735
19/06/1995,135.765
16/06/1995,135.96
15/06/1995,135.245
14/06/1995,135.73
13/06/1995,134.515
12/06/1995,133.97
09/06/1995,134.385
08/06/1995,135.195
07/06/1995,134.235
06/06/1995,135.235
05/06/1995,135.015
02/06/1995,134.655
01/06/1995,135.395
31/05/1995,134.215
30/05/1995,132.79
29/05/1995,132.69
26/05/1995,132.84
25/05/1995,136.36
24/05/1995,137.575
23/05/1995,136.8
22/05/1995,137.63
19/05/1995,136.5
18/05/1995,136.56
17/05/1995,135.99
16/05/1995,135.365
15/05/1995,135.935
12/05/1995,136.64
11/05/1995,133.835
10/05/1995,132.755
09/05/1995,131.835
08/05/1995,133.35
05/05/1995,134.33
04/05/1995,135.32
03/05/1995,134.85
02/05/1995,134.985
01/05/1995,135.11
28/04/1995,135.16
27/04/1995,135.09
26/04/1995,135.095
25/04/1995,132.585
24/04/1995,133.12
21/04/1995,133.57
20/04/1995,133.785
19/04/1995,130.745
18/04/1995,131.32
17/04/1995,133.085
14/04/1995,133.618
13/04/1995,134.555
12/04/1995,133.3
11/04/1995,133.615
10/04/1995,132.39
07/04/1995,135.02
06/04/1995,137.32
05/04/1995,138.59
04/04/1995,138.41
03/04/1995,139.395
31/03/1995,140.865
30/03/1995,143.175
29/03/1995,142.005
28/03/1995,143.645
27/03/1995,142.35
24/03/1995,141.89
23/03/1995,140.53
22/03/1995,141.31
21/03/1995,141.6
20/03/1995,141.045
17/03/1995,140.92
16/03/1995,143.555
15/03/1995,143.33
14/03/1995,144.21
13/03/1995,144.43
10/03/1995,143.62
09/03/1995,146.385
08/03/1995,147.67
07/03/1995,149.305
06/03/1995,149.815
03/03/1995,152.815
02/03/1995,152.315
01/03/1995,153.285
28/02/1995,153.01
27/02/1995,153.385
24/02/1995,154.025
23/02/1995,154.125
22/02/1995,153.795
21/02/1995,153.945
20/02/1995,153.665
17/02/1995,153.66
16/02/1995,153.755
15/02/1995,153.66
14/02/1995,153.6
13/02/1995,154.175
10/02/1995,154.425
09/02/1995,153.815
08/02/1995,153.695
07/02/1995,154.79
06/02/1995,154.925
03/02/1995,156.02
02/02/1995,157.37
01/02/1995,157.075
31/01/1995,157.37
30/01/1995,156.76
27/01/1995,157.97
26/01/1995,158.08
25/01/1995,158.575
24/01/1995,159.045
23/01/1995,159.025
20/01/1995,157.765
19/01/1995,157.28
18/01/1995,156.225
17/01/1995,155.15
16/01/1995,154.56
13/01/1995,154.46
12/01/1995,155.345
11/01/1995,155.66
10/01/1995,156.27
09/01/1995,155.545
06/01/1995,157.45
05/01/1995,157.89
04/01/1995,158.265
03/01/1995,157.215
02/01/1995,156.18
30/12/1994,155.85
29/12/1994,155.11
28/12/1994,154.875
27/12/1994,155.21
26/12/1994,155.14
23/12/1994,154.795
22/12/1994,155.41
21/12/1994,156.29
20/12/1994,156.385
19/12/1994,156.385
16/12/1994,156.725
15/12/1994,156.625
14/12/1994,156.605
13/12/1994,156.47
12/12/1994,156.475
09/12/1994,156.42
08/12/1994,156.955
07/12/1994,156.26
06/12/1994,156.47
05/12/1994,156.38
02/12/1994,156.57
01/12/1994,155.53
30/11/1994,155.03
29/11/1994,154.755
28/11/1994,154.15
25/11/1994,154.35
24/11/1994,153.715
23/11/1994,154.46
22/11/1994,154.06
21/11/1994,154.115
18/11/1994,154.365
17/11/1994,154.72
16/11/1994,154.705
15/11/1994,155.76
14/11/1994,155.925
11/11/1994,155.95
10/11/1994,156.56
09/11/1994,156.99
08/11/1994,157.195
