Date,Last Price
21/05/1996,1.5138
20/05/1996,1.5135
17/05/1996,1.5131
16/05/1996,1.5144
15/05/1996,1.5146
14/05/1996,1.515
13/05/1996,1.5142
10/05/1996,1.5202
09/05/1996,1.5239
08/05/1996,1.525
07/05/1996,1.5107
06/05/1996,1.507
03/05/1996,1.507
02/05/1996,1.5027
01/05/1996,1.493
30/04/1996,1.5065
29/04/1996,1.5061
26/04/1996,1.512
25/04/1996,1.5079
24/04/1996,1.5148
23/04/1996,1.5159
22/04/1996,1.5122
19/04/1996,1.5136
18/04/1996,1.5181
17/04/1996,1.5102
16/04/1996,1.5096
15/04/1996,1.5087
12/04/1996,1.5125
11/04/1996,1.5114
10/04/1996,1.5142
09/04/1996,1.5216
08/04/1996,1.5294
05/04/1996,1.529
04/04/1996,1.531
03/04/1996,1.5254
02/04/1996,1.5244
01/04/1996,1.5244
29/03/1996,1.527
28/03/1996,1.5247
27/03/1996,1.5195
26/03/1996,1.5232
25/03/1996,1.5233
22/03/1996,1.5366
21/03/1996,1.5364
20/03/1996,1.5385
19/03/1996,1.5341
18/03/1996,1.5315
15/03/1996,1.5272
14/03/1996,1.5271
13/03/1996,1.5231
12/03/1996,1.5255
11/03/1996,1.524
08/03/1996,1.5234
07/03/1996,1.5296
06/03/1996,1.5276
05/03/1996,1.5309
04/03/1996,1.5277
01/03/1996,1.5285
29/02/1996,1.5319
28/02/1996,1.5299
27/02/1996,1.5414
26/02/1996,1.5397
23/02/1996,1.5399
22/02/1996,1.5452
21/02/1996,1.544
20/02/1996,1.5453
19/02/1996,1.545
16/02/1996,1.552
15/02/1996,1.5378
14/02/1996,1.542
13/02/1996,1.5374
12/02/1996,1.5276
09/02/1996,1.531
08/02/1996,1.5384
07/02/1996,1.5375
06/02/1996,1.544
05/02/1996,1.539
02/02/1996,1.5252
01/02/1996,1.5201
31/01/1996,1.5137
30/01/1996,1.5052
29/01/1996,1.507
26/01/1996,1.5038
25/01/1996,1.5064
24/01/1996,1.5117
23/01/1996,1.5149
22/01/1996,1.5141
19/01/1996,1.5115
18/01/1996,1.5163
17/01/1996,1.524
16/01/1996,1.5327
15/01/1996,1.5426
12/01/1996,1.5465
11/01/1996,1.5446
10/01/1996,1.5458
09/01/1996,1.5455
08/01/1996,1.5517
05/01/1996,1.5509
04/01/1996,1.5524
03/01/1996,1.5509
02/01/1996,1.5545
01/01/1996,1.5525
29/12/1995,1.5496
28/12/1995,1.5485
27/12/1995,1.5602
26/12/1995,1.5597
25/12/1995,1.5454
22/12/1995,1.5446
21/12/1995,1.5398
20/12/1995,1.5427
19/12/1995,1.5406
18/12/1995,1.543
15/12/1995,1.5373
14/12/1995,1.5451
13/12/1995,1.5349
12/12/1995,1.5333
11/12/1995,1.5346
08/12/1995,1.534
07/12/1995,1.5353
06/12/1995,1.542
05/12/1995,1.5443
04/12/1995,1.5332
01/12/1995,1.531
30/11/1995,1.5336
29/11/1995,1.5341
28/11/1995,1.5436
27/11/1995,1.552
24/11/1995,1.5596
23/11/1995,1.5624
22/11/1995,1.5636
21/11/1995,1.5574
20/11/1995,1.5567
