Date,Last Price
09/12/2024,1.2779
06/12/2024,1.2744
05/12/2024,1.2759
04/12/2024,1.2701
03/12/2024,1.2673
02/12/2024,1.2655
29/11/2024,1.2735
28/11/2024,1.2687
27/11/2024,1.268
26/11/2024,1.2569
25/11/2024,1.2568
22/11/2024,1.253
21/11/2024,1.2589
20/11/2024,1.2652
19/11/2024,1.2682
18/11/2024,1.2678
15/11/2024,1.2618
14/11/2024,1.2666
13/11/2024,1.2708
12/11/2024,1.2748
11/11/2024,1.2868
08/11/2024,1.2921
07/11/2024,1.2987
06/11/2024,1.2879
05/11/2024,1.3042
04/11/2024,1.2957
01/11/2024,1.2924
31/10/2024,1.2899
30/10/2024,1.2962
29/10/2024,1.3015
28/10/2024,1.2972
25/10/2024,1.2962
24/10/2024,1.2975
23/10/2024,1.2921
22/10/2024,1.2984
21/10/2024,1.2985
18/10/2024,1.3052
17/10/2024,1.3011
16/10/2024,1.299
15/10/2024,1.3074
14/10/2024,1.3059
11/10/2024,1.3067
10/10/2024,1.3059
09/10/2024,1.3071
08/10/2024,1.3104
07/10/2024,1.3083
04/10/2024,1.3122
03/10/2024,1.3124
02/10/2024,1.3268
01/10/2024,1.3286
30/09/2024,1.3375
27/09/2024,1.3374
26/09/2024,1.3415
25/09/2024,1.3324
24/09/2024,1.3413
23/09/2024,1.3347
20/09/2024,1.3321
19/09/2024,1.3284
18/09/2024,1.3214
17/09/2024,1.3161
16/09/2024,1.3216
13/09/2024,1.3124
12/09/2024,1.3124
11/09/2024,1.3043
10/09/2024,1.308
09/09/2024,1.3074
06/09/2024,1.3129
05/09/2024,1.318
04/09/2024,1.3147
03/09/2024,1.3114
02/09/2024,1.3146
30/08/2024,1.3127
29/08/2024,1.3168
28/08/2024,1.3191
27/08/2024,1.3261
26/08/2024,1.3188
23/08/2024,1.3214
22/08/2024,1.3091
21/08/2024,1.3091
20/08/2024,1.3034
19/08/2024,1.2991
16/08/2024,1.2944
15/08/2024,1.2855
14/08/2024,1.2829
13/08/2024,1.2862
12/08/2024,1.277
09/08/2024,1.2761
08/08/2024,1.2748
07/08/2024,1.2692
06/08/2024,1.2691
05/08/2024,1.2776
02/08/2024,1.2801
01/08/2024,1.2739
31/07/2024,1.2856
30/07/2024,1.2836
29/07/2024,1.2862
26/07/2024,1.2867
25/07/2024,1.2851
24/07/2024,1.2907
23/07/2024,1.2908
22/07/2024,1.2933
19/07/2024,1.2914
18/07/2024,1.2944
17/07/2024,1.3009
16/07/2024,1.2974
15/07/2024,1.2968
12/07/2024,1.2988
11/07/2024,1.2915
10/07/2024,1.2849
09/07/2024,1.2786
08/07/2024,1.2807
05/07/2024,1.2815
04/07/2024,1.276
03/07/2024,1.2742
02/07/2024,1.2685
01/07/2024,1.265
28/06/2024,1.2645
27/06/2024,1.2639
26/06/2024,1.2622
25/06/2024,1.2686
24/06/2024,1.2686
21/06/2024,1.2645
20/06/2024,1.2657
19/06/2024,1.272
18/06/2024,1.2709
17/06/2024,1.2705
14/06/2024,1.2687
13/06/2024,1.2762
12/06/2024,1.2798
11/06/2024,1.274
10/06/2024,1.2731
07/06/2024,1.2719
06/06/2024,1.2791
05/06/2024,1.2787
04/06/2024,1.277
03/06/2024,1.2808
31/05/2024,1.2742
30/05/2024,1.2732
29/05/2024,1.2701
28/05/2024,1.2762
27/05/2024,1.2769
24/05/2024,1.2737
23/05/2024,1.2699
22/05/2024,1.2717
21/05/2024,1.2709
20/05/2024,1.2706
17/05/2024,1.2701
16/05/2024,1.267
15/05/2024,1.2685
14/05/2024,1.2592
13/05/2024,1.2559
10/05/2024,1.2525
09/05/2024,1.2524
08/05/2024,1.2498
07/05/2024,1.2509
06/05/2024,1.2562
03/05/2024,1.2547
02/05/2024,1.2534
01/05/2024,1.2527
30/04/2024,1.2492
29/04/2024,1.2563
26/04/2024,1.2493
25/04/2024,1.2514
24/04/2024,1.2464
23/04/2024,1.2449
22/04/2024,1.235
19/04/2024,1.237
18/04/2024,1.2436
17/04/2024,1.2454
16/04/2024,1.2426
15/04/2024,1.2446
12/04/2024,1.2452
11/04/2024,1.2553
10/04/2024,1.254
09/04/2024,1.2678
08/04/2024,1.2655
05/04/2024,1.2638
04/04/2024,1.2642
03/04/2024,1.2652
02/04/2024,1.2578
01/04/2024,1.2552
29/03/2024,1.2623
28/03/2024,1.2624
27/03/2024,1.264
26/03/2024,1.2628
25/03/2024,1.2636
22/03/2024,1.2601
21/03/2024,1.2658
20/03/2024,1.2785
19/03/2024,1.2722
18/03/2024,1.2729
15/03/2024,1.2736
14/03/2024,1.2753
13/03/2024,1.2797
12/03/2024,1.2793
11/03/2024,1.2814
08/03/2024,1.2858
07/03/2024,1.2809
06/03/2024,1.2731
05/03/2024,1.2705
04/03/2024,1.2692
01/03/2024,1.2655
29/02/2024,1.2625
28/02/2024,1.2662
27/02/2024,1.2685
26/02/2024,1.2685
23/02/2024,1.2672
22/02/2024,1.266
21/02/2024,1.2638
20/02/2024,1.2623
19/02/2024,1.2594
16/02/2024,1.2602
15/02/2024,1.26
14/02/2024,1.2566
13/02/2024,1.2592
12/02/2024,1.2629
09/02/2024,1.2628
08/02/2024,1.2617
07/02/2024,1.2626
06/02/2024,1.2598
05/02/2024,1.2536
02/02/2024,1.2631
01/02/2024,1.2744
31/01/2024,1.2688
30/01/2024,1.27
29/01/2024,1.2709
26/01/2024,1.2703
25/01/2024,1.2708
24/01/2024,1.2726
