Date,Price
01/01/1980,533.105
02/01/1980,534.771
03/01/1980,533.904
04/01/1980,525.247
07/01/1980,523.65
08/01/1980,531.004
09/01/1980,532.396
10/01/1980,532.436
11/01/1980,532.764
14/01/1980,537.473
15/01/1980,545.563
16/01/1980,540.838
17/01/1980,546.252
18/01/1980,547.72
21/01/1980,550.323
22/01/1980,545.317
23/01/1980,540.336
24/01/1980,545.191
25/01/1980,541.735
28/01/1980,539.894
29/01/1980,538.417
30/01/1980,541.749
31/01/1980,542.489
01/02/1980,546.783
04/02/1980,549.423
05/02/1980,549.949
06/02/1980,555.111
07/02/1980,552.567
08/02/1980,555.311
11/02/1980,556.354
12/02/1980,556.354
13/02/1980,558.766
14/02/1980,562.985
15/02/1980,558.144
18/02/1980,558.144
19/02/1980,557.457
20/02/1980,560.846
21/02/1980,562.684
22/02/1980,562.825
25/02/1980,565.244
26/02/1980,564.803
27/02/1980,568.205
28/02/1980,567.544
29/02/1980,572
03/03/1980,555.679
04/03/1980,550.704
05/03/1980,553.011
06/03/1980,554.131
07/03/1980,551.961
10/03/1980,549.611
11/03/1980,550.613
12/03/1980,552.791
13/03/1980,551.526
14/03/1980,551.147
17/03/1980,544.468
18/03/1980,544.532
19/03/1980,544.667
20/03/1980,545.647
21/03/1980,543.516
24/03/1980,544.641
25/03/1980,545.089
26/03/1980,544.408
27/03/1980,543.282
28/03/1980,541.49
31/03/1980,539.892
01/04/1980,547.879
02/04/1980,553.901
03/04/1980,550.15
04/04/1980,552.431
07/04/1980,559.396
08/04/1980,562.617
09/04/1980,550.434
10/04/1980,546.779
11/04/1980,554.237
14/04/1980,553.849
15/04/1980,552.781
16/04/1980,552.254
17/04/1980,550.87
18/04/1980,553.293
21/04/1980,560.051
22/04/1980,558.625
23/04/1980,551.934
24/04/1980,553.765
25/04/1980,559.281
28/04/1980,550.887
29/04/1980,543.091
30/04/1980,540.571
01/05/1980,543.289
02/05/1980,542.109
05/05/1980,540.341
06/05/1980,528.388
07/05/1980,528.965
08/05/1980,533.776
09/05/1980,525.49
12/05/1980,517.33
13/05/1980,519.042
14/05/1980,521.992
